"item_name","datetime","ducats_per_platinum","ducats","wa_price","ducats_per_platinum_wa","position_change_month","position_change_week","position_change_day","volume"
"Volt Prime Neuroptics","2021-08-29 00:00:00","0.72","65","95.48","0.68","-5","0","0","928"
"Volt Prime Set","2021-08-29 00:00:00","1.0","180","188.23","0.96","-10","0","0","2465"
"Volt Prime Systems","2021-08-29 00:00:00","1.5","45","33.01","1.3599999999999999","-19","-9","-3","341"
"Wukong Prime Blueprint","2021-08-29 00:00:00","2.04","100","50.3","1.99","-28","22","7","380"
"Wukong Prime Chassis","2021-08-29 00:00:00","6.43","45","7.98","5.64","-66","-48","3","482"
"Wukong Prime Neuroptics","2021-08-29 00:00:00","2.14","15","7.65","1.96","-84","-54","-1","376"
"Wukong Prime Set","2021-08-29 00:00:00","2.56","205","83.4","2.46","1","13","-1","4528"
"Wukong Prime Systems","2021-08-29 00:00:00","4.5","45","11.88","3.79","-26","-3","2","537"
"Wyrm Prime Blueprint","2021-08-29 00:00:00","1.0","15","16.32","0.92","-10","-14","-14","186"
"Wyrm Prime Carapace","2021-08-29 00:00:00","0.23","15","63.65","0.24","0","0","0","133"
"Wyrm Prime Cerebrum","2021-08-29 00:00:00","0.43","15","34.02","0.44","0","-1","1","142"
"Wyrm Prime Set","2021-08-29 00:00:00","0.45","90","204.7","0.44","0","0","-1","148"
"Wyrm Prime Systems","2021-08-29 00:00:00","0.6000000000000001","45","72.8","0.62","-3","1","0","88"
"Zakti Prime Barrel","2021-08-29 00:00:00","9.0","45","4.58","9.83","17","7","-2","111"
"Zakti Prime Blueprint","2021-08-29 00:00:00","9.09","100","12.22","8.18","4","1","-8","137"
"Zakti Prime Receiver","2021-08-29 00:00:00","3.75","15","3.91","3.83","6","-10","6","148"
"Zakti Prime Set","2021-08-29 00:00:00","6.4","160","25.09","6.38","22","6","3","317"
"Zephyr Prime Blueprint","2021-08-29 00:00:00","7.22","65","9.27","7.01","-3","2","1","357"
"Zephyr Prime Chassis","2021-08-29 00:00:00","5.0","25","6.73","3.71","-81","9","-39","383"
"Zephyr Prime Neuroptics","2021-08-29 00:00:00","2.14","15","7.63","1.96","-89","6","1","347"
"Zephyr Prime Set","2021-08-29 00:00:00","3.42","205","70.47","2.91","-44","4","-21","760"
"Zephyr Prime Systems","2021-08-29 00:00:00","3.5700000000000003","100","28.43","3.52","-43","18","3","213"
"Zhuge Prime Barrel","2021-08-29 00:00:00","6.67","100","14.75","6.78","0","-1","-1","125"
"Zhuge Prime Blueprint","2021-08-29 00:00:00","9.0","45","4.91","9.16","-17","-24","0","201"
"Zhuge Prime Grip","2021-08-29 00:00:00","3.0","15","4.92","3.05","-4","-6","-1","153"
"Zhuge Prime Receiver","2021-08-29 00:00:00","5.0","45","8.99","5.01","-15","-14","4","71"
"Zhuge Prime Set","2021-08-29 00:00:00","5.5","220","41.34","5.32","14","6","2","313"
"Zhuge Prime String","2021-08-29 00:00:00","2.14","15","7.38","2.03","-2","-12","23","127"
