"item_name","datetime","ducats_per_platinum","ducats","wa_price","ducats_per_platinum_wa","position_change_month","position_change_week","position_change_day","volume"
"Gara Prime Chassis","2021-08-29 00:00:00","4.5","45","9.0","5.0","1","-47","-30","442"
"Gara Prime Neuroptics","2021-08-29 00:00:00","3.0","45","14.65","3.07","29","-23","-2","317"
"Gara Prime Set","2021-08-29 00:00:00","2.16","205","95.86","2.14","-12","-28","1","328"
"Gara Prime Systems","2021-08-29 00:00:00","1.5","15","9.41","1.5899999999999999","0","-20","-5","230"
"Glaive Prime Blade","2021-08-29 00:00:00","2.25","45","19.7","2.2800000000000002","6","4","-2","255"
"Glaive Prime Blueprint","2021-08-29 00:00:00","1.0","100","99.9","1.0","-8","-4","2","104"
"Glaive Prime Disc","2021-08-29 00:00:00","1.5","45","31.02","1.45","-42","3","0","319"
"Glaive Prime Set","2021-08-29 00:00:00","1.24","235","183.01","1.28","-6","4","6","2842"
"Gram Prime Blade","2021-08-29 00:00:00","3.0","15","5.27","2.85","-33","-14","2","260"
"Gram Prime Blueprint","2021-08-29 00:00:00","9.0","45","5.03","8.94","-12","20","0","131"
"Gram Prime Handle","2021-08-29 00:00:00","6.67","100","14.4","6.94","-13","5","1","228"
"Gram Prime Set","2021-08-29 00:00:00","5.33","160","34.13","4.69","9","13","-4","638"
"Guandao Prime Blade","2021-08-29 00:00:00","1.88","15","8.17","1.8399999999999999","11","-12","-2","279"
"Guandao Prime Blueprint","2021-08-29 00:00:00","11.25","45","4.51","9.98","-17","-12","7","278"
"Guandao Prime Handle","2021-08-29 00:00:00","10.0","100","12.71","7.87","-31","-30","-1","291"
"Guandao Prime Set","2021-08-29 00:00:00","5.83","175","30.43","5.75","41","25","6","444"
"Helios Prime Blueprint","2021-08-29 00:00:00","9.0","45","6.94","6.48","3","4","3","322"
"Helios Prime Carapace","2021-08-29 00:00:00","3.0","15","5.48","2.74","-11","-14","34","190"
"Helios Prime Cerebrum","2021-08-29 00:00:00","2.22","100","47.27","2.12","-25","14","0","181"
"Helios Prime Set","2021-08-29 00:00:00","2.93","205","70.73","2.9","2","4","4","675"
"Helios Prime Systems","2021-08-29 00:00:00","4.5","45","9.48","4.75","11","8","16","231"
"Hikou Prime Blueprint","2021-08-29 00:00:00","3.0","15","4.67","3.21","21","12","8","207"
"Hikou Prime Pouch","2021-08-29 00:00:00","1.15","15","15.08","0.99","19","-1","2","247"
"Hikou Prime Set","2021-08-29 00:00:00","1.17","75","69.29","1.08","13","1","3","427"
"Hikou Prime Stars","2021-08-29 00:00:00","1.67","15","8.72","1.72","15","5","2","271"
"Hydroid Prime Blueprint","2021-08-29 00:00:00","4.5","45","9.89","4.55","11","31","4","217"
"Hydroid Prime Chassis","2021-08-29 00:00:00","1.5","15","9.47","1.58","-2","3","2","240"
"Hydroid Prime Neuroptics","2021-08-29 00:00:00","3.0","45","14.53","3.1","18","0","5","156"
"Hydroid Prime Set","2021-08-29 00:00:00","1.74","205","117.11","1.75","0","2","1","645"
"Hydroid Prime Systems","2021-08-29 00:00:00","1.43","100","69.2","1.45","0","1","0","181"
"Inaros Prime Blueprint","2021-08-29 00:00:00","9.0","45","4.94","9.11","-4","3","-6","411"
"Inaros Prime Chassis","2021-08-29 00:00:00","9.0","45","4.69","9.6","-1","8","-9","348"
"Inaros Prime Neuroptics","2021-08-29 00:00:00","6.67","100","16.04","6.24","9","5","0","297"
"Inaros Prime Set","2021-08-29 00:00:00","5.12","205","40.32","5.08","16","20","8","738"
"Inaros Prime Systems","2021-08-29 00:00:00","1.5","15","9.79","1.53","-57","-24","-26","144"
"Ivara Prime Blueprint","2021-08-29 00:00:00","9.0","45","4.65","9.68","-7","6","-3","361"
"Ivara Prime Chassis","2021-08-29 00:00:00","5.5600000000000005","100","17.54","5.7","10","-10","-1","336"
"Ivara Prime Neuroptics","2021-08-29 00:00:00","3.0","15","5.74","2.61","-43","-43","-40","403"
"Ivara Prime Set","2021-08-29 00:00:00","6.83","205","32.55","6.3","0","6","5","995"
"Ivara Prime Systems","2021-08-29 00:00:00","9.0","45","4.51","9.97","-2","8","-2","420"
"Karyst Prime Blade","2021-08-29 00:00:00","10.0","100","9.63","10.39","31","13","1","169"
"Karyst Prime Blueprint","2021-08-29 00:00:00","3.0","15","5.0","3.0","-1","7","2","93"
"Karyst Prime Handle","2021-08-29 00:00:00","11.25","45","4.35","10.35","-7","-8","11","300"
"Karyst Prime Set","2021-08-29 00:00:00","8.0","160","20.26","7.9","3","-4","1","435"
"Kavasa Prime Band","2021-08-29 00:00:00","6.43","45","7.12","6.32","33","25","12","152"
"Kavasa Prime Buckle","2021-08-29 00:00:00","3.61","65","18.73","3.47","-27","-10","-7","62"
"Kavasa Prime Kubrow Collar Blueprint","2021-08-29 00:00:00","6.43","45","7.33","6.14","-45","-5","6","151"
"Kavasa Prime Kubrow Collar Set","2021-08-29 00:00:00","5.17","155","29.76","5.21","5","7","1","211"
"Kogake Prime Blueprint","2021-08-29 00:00:00","9.0","45","5.02","8.97","35","8","-5","106"
"Kogake Prime Boot","2021-08-29 00:00:00","1.88","15","8.12","1.85","-18","-4","2","185"
"Kogake Prime Gauntlet","2021-08-29 00:00:00","5.0","100","19.48","5.13","5","19","3","99"
"Kogake Prime Set","2021-08-29 00:00:00","3.93","275","72.73","3.7800000000000002","8","-1","-1","241"
"Kronen Prime Blade","2021-08-29 00:00:00","2.22","100","45.92","2.18","-61","4","-1","593"
"Kronen Prime Blueprint","2021-08-29 00:00:00","3.0","15","4.96","3.02","-8","-6","4","206"
"Kronen Prime Handle","2021-08-29 00:00:00","2.25","45","19.28","2.33","-38","3","-5","334"
"Kronen Prime Set","2021-08-29 00:00:00","2.03","305","160.98","1.8900000000000001","-62","0","-9","577"
"Latron Prime Barrel","2021-08-29 00:00:00","1.5","15","9.54","1.57","10","-1","-4","168"
"Latron Prime Blueprint","2021-08-29 00:00:00","1.5","15","9.35","1.6","-2","1","-2","127"
"Latron Prime Receiver","2021-08-29 00:00:00","1.07","15","14.12","1.06","-6","-1","-5","134"
"Latron Prime Set","2021-08-29 00:00:00","1.2","60","50.85","1.18","-1","7","1","317"
"Latron Prime Stock","2021-08-29 00:00:00","1.0","15","15.71","0.96","-2","3","3","136"
"Lex Prime Barrel","2021-08-29 00:00:00","3.75","15","4.1","3.66","-17","-9","-7","154"
"Lex Prime Blueprint","2021-08-29 00:00:00","8.33","25","2.9699999999999998","8.41","-47","-31","5","184"
"Lex Prime Receiver","2021-08-29 00:00:00","1.5","15","9.85","1.52","-1","-19","-13","273"
"Lex Prime Set","2021-08-29 00:00:00","4.23","55","13.16","4.18","11","33","12","410"
"Limbo Prime Blueprint","2021-08-29 00:00:00","7.5","45","7.43","6.06","-7","0","-14","432"
"Limbo Prime Chassis","2021-08-29 00:00:00","1.67","100","63.13","1.58","-26","14","2","190"
"Limbo Prime Neuroptics","2021-08-29 00:00:00","2.86","100","34.92","2.86","-10","4","7","240"
"Limbo Prime Set","2021-08-29 00:00:00","2.17","260","117.47","2.21","-11","5","2","538"
"Limbo Prime Systems","2021-08-29 00:00:00","3.0","15","4.63","3.24","6","43","2","387"
"Loki Prime Blueprint","2021-08-29 00:00:00","1.5","15","9.82","1.53","23","3","4","183"
"Loki Prime Chassis","2021-08-29 00:00:00","1.5","45","29.31","1.54","38","3","8","166"
"Loki Prime Neuroptics","2021-08-29 00:00:00","0.75","15","19.4","0.77","8","-1","1","268"
"Loki Prime Set","2021-08-29 00:00:00","0.39","175","461.66","0.38","0","0","0","220"
"Loki Prime Systems","2021-08-29 00:00:00","0.26","100","379.43","0.26","0","0","0","94"
"Mag Prime Blueprint","2021-08-29 00:00:00","1.05","100","96.1","1.04","-8","-2","-1","267"
"Mag Prime Chassis","2021-08-29 00:00:00","1.67","45","27.18","1.6600000000000001","-15","18","2","313"
"Mag Prime Neuroptics","2021-08-29 00:00:00","0.44","15","33.35","0.45","-1","-1","0","196"
"Mag Prime Set","2021-08-29 00:00:00","0.88","175","203.67","0.86","-8","1","1","334"
"Mag Prime Systems","2021-08-29 00:00:00","0.54","15","27.62","0.54","-1","0","0","259"
"Mesa Prime Blueprint","2021-08-29 00:00:00","9.0","45","5.07","8.87","-8","-7","-5","316"
"Mesa Prime Chassis","2021-08-29 00:00:00","2.14","15","7.44","2.02","-8","-5","0","411"
"Mesa Prime Neuroptics","2021-08-29 00:00:00","2.86","100","35.71","2.8","-25","-1","1","187"
"Mesa Prime Set","2021-08-29 00:00:00","2.74","260","96.08","2.71","0","10","-2","4311"
"Mesa Prime Systems","2021-08-29 00:00:00","2.5","100","41.44","2.41","-17","8","-3","250"
"Mirage Prime Blueprint","2021-08-29 00:00:00","1.82","100","54.76","1.83","-53","7","-4","180"
"Mirage Prime Chassis","2021-08-29 00:00:00","1.5","15","11.38","1.32","-12","-3","-7","409"
"Mirage Prime Neuroptics","2021-08-29 00:00:00","2.5","15","6.92","2.17","-18","-57","0","362"
"Mirage Prime Set","2021-08-29 00:00:00","1.79","175","100.44","1.74","-19","-4","-5","1256"
"Mirage Prime Systems","2021-08-29 00:00:00","2.25","45","19.5","2.31","-33","-27","-1","220"
"Nami Skyla Prime Blade","2021-08-29 00:00:00","2.0","100","49.04","2.04","-11","7","3","166"
"Nami Skyla Prime Blueprint","2021-08-29 00:00:00","1.25","15","13.45","1.11","-52","-48","-17","152"
"Nami Skyla Prime Handle","2021-08-29 00:00:00","2.81","45","16.72","2.69","-6","18","4","206"
"Nami Skyla Prime Set","2021-08-29 00:00:00","1.9100000000000001","305","161.6","1.8900000000000001","-16","2","1","272"
"Nekros Prime Blueprint","2021-08-29 00:00:00","0.93","65","71.13","0.91","-17","-1","0","231"
"Nekros Prime Chassis","2021-08-29 00:00:00","1.5","15","10.74","1.4","-12","-1","-1","582"
"Nekros Prime Neuroptics","2021-08-29 00:00:00","1.5","45","29.64","1.52","-6","-2","-1","169"
"Nekros Prime Set","2021-08-29 00:00:00","1.12","225","195.96","1.15","-5","2","1","1188"
"Nekros Prime Systems","2021-08-29 00:00:00","1.33","100","75.91","1.32","-19","0","4","262"
"Nezha Prime Blueprint","2021-08-29 00:00:00","10.0","45","4.5600000000000005","9.87","-9","-14","-9","564"
"Nezha Prime Chassis","2021-08-29 00:00:00","3.33","100","31.05","3.22","-21","1","-4","178"
"Nezha Prime Neuroptics","2021-08-29 00:00:00","5.0","100","19.55","5.11","2","11","1","196"
"Nezha Prime Set","2021-08-29 00:00:00","4.33","260","63.06","4.12","20","6","2","395"
"Nezha Prime Systems","2021-08-29 00:00:00","3.0","15","4.98","3.01","55","-1","4","241"
"Nikana Prime Blade","2021-08-29 00:00:00","1.8599999999999999","65","35.66","1.82","-15","-4","0","240"
"Nikana Prime Blueprint","2021-08-29 00:00:00","1.67","25","14.75","1.7000000000000002","-15","-4","7","264"
"Nikana Prime Hilt","2021-08-29 00:00:00","1.11","100","89.99","1.11","-12","-2","2","94"
"Nikana Prime Set","2021-08-29 00:00:00","1.3599999999999999","190","141.89","1.34","-4","0","6","742"
"Ninkondi Prime Blueprint","2021-08-29 00:00:00","3.0","15","4.71","3.19","-30","-17","-7","123"
"Ninkondi Prime Chain","2021-08-29 00:00:00","11.25","45","4.38","10.27","2","-4","1","179"
"Ninkondi Prime Handle","2021-08-29 00:00:00","6.67","100","15.89","6.29","-14","3","-3","152"
"Ninkondi Prime Set","2021-08-29 00:00:00","6.5","260","43.89","5.92","5","10","7","329"
"Nova Prime Blueprint","2021-08-29 00:00:00","4.5","45","12.12","3.71","6","-3","-5","525"
"Nova Prime Chassis","2021-08-29 00:00:00","1.67","100","59.57","1.6800000000000002","-19","-5","-1","255"
"Nova Prime Neuroptics","2021-08-29 00:00:00","1.0","15","16.55","0.91","1","-1","0","260"
"Nova Prime Set","2021-08-29 00:00:00","1.75","175","100.76","1.74","11","15","3","1229"
"Nova Prime Systems","2021-08-29 00:00:00","1.5","15","10.3","1.46","-18","3","-1","547"
"Nyx Prime Blueprint","2021-08-29 00:00:00","1.5","15","9.6","1.56","33","0","2","326"
"Nyx Prime Chassis","2021-08-29 00:00:00","8.12","65","8.23","7.9","20","-2","4","508"
"Nyx Prime Neuroptics","2021-08-29 00:00:00","5.0","100","22.34","4.48","222","34","7","242"
"Nyx Prime Set","2021-08-29 00:00:00","3.36","225","80.94","2.7800000000000002","79","48","16","525"
"Nyx Prime Systems","2021-08-29 00:00:00","4.5","45","10.03","4.49","130","28","-2","352"
"Oberon Prime Blueprint","2021-08-29 00:00:00","5.0","45","9.05","4.97","16","6","-1","335"
"Oberon Prime Chassis","2021-08-29 00:00:00","1.5","15","10.0","1.5","0","-1","1","269"
"Oberon Prime Neuroptics","2021-08-29 00:00:00","3.33","100","31.61","3.16","-10","-3","-11","184"
"Oberon Prime Set","2021-08-29 00:00:00","2.25","225","107.91","2.09","-2","-2","-7","735"
"Oberon Prime Systems","2021-08-29 00:00:00","1.44","65","45.0","1.44","-37","-2","-3","333"
"Octavia Prime Blueprint","2021-08-29 00:00:00","2.5","100","39.59","2.5300000000000002","3","8","-2","366"
"Octavia Prime Chassis","2021-08-29 00:00:00","5.62","45","8.07","5.58","36","14","3","438"
"Octavia Prime Neuroptics","2021-08-29 00:00:00","3.0","15","4.82","3.11","78","0","1","300"
"Octavia Prime Set","2021-08-29 00:00:00","2.92","175","63.92","2.74","13","9","0","570"
"Octavia Prime Systems","2021-08-29 00:00:00","1.5","15","9.11","1.65","0","-34","-3","248"
"Odonata Prime Blueprint","2021-08-29 00:00:00","4.5","45","11.79","3.8200000000000003","-26","-9","-3","403"
"Odonata Prime Harness","2021-08-29 00:00:00","1.07","15","13.64","1.1","-52","7","6","220"
"Odonata Prime Set","2021-08-29 00:00:00","2.33","140","63.06","2.22","9","1","-8","560"
"Odonata Prime Systems","2021-08-29 00:00:00","1.5","15","10.13","1.48","-29","-17","-17","294"
"Odonata Prime Wings","2021-08-29 00:00:00","2.17","65","31.95","2.03","-41","0","3","186"
"Orthos Prime Blade","2021-08-29 00:00:00","9.0","45","5.14","8.75","-9","-3","-5","213"
"Orthos Prime Blueprint","2021-08-29 00:00:00","11.25","45","4.32","10.41","4","7","-4","159"
"Orthos Prime Handle","2021-08-29 00:00:00","3.75","15","3.71","4.05","-36","-9","3","185"
"Orthos Prime Set","2021-08-29 00:00:00","10.0","150","16.36","9.17","14","10","-7","421"
"Pandero Prime Barrel","2021-08-29 00:00:00","4.5","45","9.39","4.79","11","10","2","175"
"Pandero Prime Blueprint","2021-08-29 00:00:00","3.75","15","4.0","3.75","19","4","13","142"
"Pandero Prime Receiver","2021-08-29 00:00:00","7.69","100","12.74","7.85","11","16","4","158"
"Pandero Prime Set","2021-08-29 00:00:00","4.57","160","35.72","4.48","37","4","-6","248"
"Pangolin Prime Blade","2021-08-29 00:00:00","9.0","45","4.8100000000000005","9.36","-9","2","1","116"
"Pangolin Prime Blueprint","2021-08-29 00:00:00","10.0","100","9.61","10.4","8","13","-2","178"
"Pangolin Prime Handle","2021-08-29 00:00:00","1.67","15","9.12","1.6400000000000001","11","-2","3","177"
"Pangolin Prime Set","2021-08-29 00:00:00","8.0","160","19.81","8.08","5","6","-3","469"
"Panthera Prime Barrel","2021-08-29 00:00:00","10.0","100","9.88","10.12","30","9","28","122"
"Panthera Prime Blueprint","2021-08-29 00:00:00","3.0","15","4.69","3.2","39","0","7","103"
"Panthera Prime Receiver","2021-08-29 00:00:00","10.0","100","9.81","10.19","35","14","-5","116"
"Panthera Prime Set","2021-08-29 00:00:00","8.67","260","33.4","7.78","33","2","-2","327"
"Panthera Prime Stock","2021-08-29 00:00:00","9.0","45","4.77","9.44","-4","-24","-9","182"
"Paris Prime Blueprint","2021-08-29 00:00:00","5.0","15","3.05","4.92","21","-8","2","117"
"Paris Prime Grip","2021-08-29 00:00:00","11.25","45","4.42","10.18","-8","-12","3","209"
"Paris Prime Lower Limb","2021-08-29 00:00:00","7.5","15","2.34","6.42","0","1","0","113"
"Paris Prime Set","2021-08-29 00:00:00","8.85","115","13.76","8.36","7","1","2","407"
"Paris Prime String","2021-08-29 00:00:00","3.0","15","5.05","2.9699999999999998","30","-2","-1","64"
"Paris Prime Upper Limb","2021-08-29 00:00:00","8.33","25","3.66","6.83","-20","-13","-6","121"
"Pyrana Prime Barrel","2021-08-29 00:00:00","2.14","15","7.16","2.1","9","3","-4","209"
"Pyrana Prime Blueprint","2021-08-29 00:00:00","2.5","100","41.24","2.43","-29","-3","-4","80"
"Pyrana Prime Receiver","2021-08-29 00:00:00","4.5","45","9.42","4.78","-30","-2","-11","229"
"Pyrana Prime Set","2021-08-29 00:00:00","2.29","160","68.03","2.35","-16","3","2","393"
"Reaper Prime Blade","2021-08-29 00:00:00","2.5","45","17.98","2.5","-37","18","10","246"
"Reaper Prime Blueprint","2021-08-29 00:00:00","1.0","15","16.14","0.93","-10","2","-1","198"
"Reaper Prime Handle","2021-08-29 00:00:00","0.52","15","29.33","0.51","0","0","0","275"
"Reaper Prime Set","2021-08-29 00:00:00","1.07","75","73.34","1.02","9","-2","3","700"
"Redeemer Prime Blade","2021-08-29 00:00:00","1.88","15","8.01","1.87","-4","5","-1","329"
"Redeemer Prime Blueprint","2021-08-29 00:00:00","9.0","45","4.89","9.2","4","10","14","164"
"Redeemer Prime Handle","2021-08-29 00:00:00","2.0","100","51.89","1.9300000000000002","-9","0","0","274"
"Redeemer Prime Set","2021-08-29 00:00:00","2.67","160","64.77","2.47","3","10","-3","714"
"Rhino Prime Blueprint","2021-08-29 00:00:00","2.86","100","42.54","2.35","165","-18","-1","1035"
"Rhino Prime Chassis","2021-08-29 00:00:00","3.42","65","18.69","3.48","208","25","10","372"
"Rhino Prime Neuroptics","2021-08-29 00:00:00","1.88","45","23.63","1.9","109","7","1","254"
"Rhino Prime Set","2021-08-29 00:00:00","1.67","225","211.51","1.06","14","6","-12","1261"
"Rhino Prime Systems","2021-08-29 00:00:00","1.07","15","14.87","1.01","9","4","0","458"
"Rubico Prime Barrel","2021-08-29 00:00:00","2.5","25","9.46","2.64","-43","-5","-1","252"
"Rubico Prime Blueprint","2021-08-29 00:00:00","5.0","100","19.64","5.09","-19","15","2","170"
"Rubico Prime Receiver","2021-08-29 00:00:00","1.88","15","8.36","1.79","12","17","11","298"
"Rubico Prime Set","2021-08-29 00:00:00","3.7","185","55.29","3.35","-21","9","7","787"
"Rubico Prime Stock","2021-08-29 00:00:00","4.5","45","11.35","3.96","-48","-29","4","363"
"Saryn Prime Blueprint","2021-08-29 00:00:00","1.1","65","58.15","1.12","-21","-3","-1","265"
"Saryn Prime Chassis","2021-08-29 00:00:00","0.72","100","140.09","0.71","-3","0","-1","470"
"Saryn Prime Neuroptics","2021-08-29 00:00:00","2.25","45","21.12","2.13","-15","4","20","259"
"Saryn Prime Set","2021-08-29 00:00:00","0.9500000000000001","225","239.72","0.9400000000000001","-10","0","2","1025"
"Saryn Prime Systems","2021-08-29 00:00:00","1.5","15","11.22","1.34","-6","8","3","692"
"Scindo Prime Blade","2021-08-29 00:00:00","6.67","100","15.21","6.57","32","3","-6","232"
"Scindo Prime Blueprint","2021-08-29 00:00:00","8.18","45","6.65","6.77","77","3","1","250"
"Scindo Prime Handle","2021-08-29 00:00:00","3.12","25","7.53","3.32","88","11","-7","232"
"Scindo Prime Set","2021-08-29 00:00:00","4.42","170","41.4","4.11","60","3","-3","448"
"Sicarus Prime Barrel","2021-08-29 00:00:00","1.0","15","14.85","1.01","-16","3","0","116"
"Sicarus Prime Blueprint","2021-08-29 00:00:00","2.14","15","7.61","1.97","0","-2","8","178"
"Sicarus Prime Receiver","2021-08-29 00:00:00","3.33","100","29.44","3.4","-6","-1","2","80"
"Sicarus Prime Set","2021-08-29 00:00:00","2.6","130","48.61","2.67","-1","9","0","379"
"Silva & Aegis Prime Blade","2021-08-29 00:00:00","5.0","45","9.08","4.96","13","21","2","224"
"Silva & Aegis Prime Blueprint","2021-08-29 00:00:00","4.5","45","9.6","4.69","-12","7","-6","171"
"Silva & Aegis Prime Guard","2021-08-29 00:00:00","3.33","100","32.38","3.09","-24","11","0","144"
"Silva & Aegis Prime Hilt","2021-08-29 00:00:00","2.14","15","7.36","2.04","19","11","3","235"
"Silva & Aegis Prime Set","2021-08-29 00:00:00","3.42","205","60.07","3.41","12","14","5","553"
"Soma Prime Barrel","2021-08-29 00:00:00","1.5","15","11.28","1.33","8","-23","2","169"
"Soma Prime Blueprint","2021-08-29 00:00:00","1.88","15","7.88","1.9","21","-3","1","269"
"Soma Prime Receiver","2021-08-29 00:00:00","2.5","45","17.56","2.56","14","17","3","185"
"Soma Prime Set","2021-08-29 00:00:00","2.5","175","72.75","2.41","-3","5","-1","581"
"Soma Prime Stock","2021-08-29 00:00:00","5.0","100","19.78","5.06","-8","8","0","107"
"Spira Prime Blade","2021-08-29 00:00:00","2.6","65","24.62","2.64","5","3","-2","259"
"Spira Prime Blueprint","2021-08-29 00:00:00","3.0","15","6.5600000000000005","2.29","6","9","-48","238"
"Spira Prime Pouch","2021-08-29 00:00:00","2.22","100","46.11","2.17","9","8","-4","124"
"Spira Prime Set","2021-08-29 00:00:00","2.16","345","165.68","2.08","5","5","-2","253"
"Stradavar Prime Barrel","2021-08-29 00:00:00","11.25","45","5.0","8.99","-22","-29","-9","218"
"Stradavar Prime Blueprint","2021-08-29 00:00:00","10.0","100","10.0","10.0","22","11","-5","94"
"Stradavar Prime Receiver","2021-08-29 00:00:00","3.0","15","5.27","2.85","-18","-12","-1","104"
"Stradavar Prime Set","2021-08-29 00:00:00","5.83","175","30.36","5.76","2","13","6","353"
"Stradavar Prime Stock","2021-08-29 00:00:00","1.67","15","8.8","1.7000000000000002","-30","-17","-7","109"
"Sybaris Prime Barrel","2021-08-29 00:00:00","4.0","100","26.96","3.71","18","12","1","110"
"Sybaris Prime Blueprint","2021-08-29 00:00:00","1.88","15","7.42","2.02","-17","1","-3","145"
"Sybaris Prime Receiver","2021-08-29 00:00:00","5.0","45","8.99","5.0","-2","2","2","191"
"Sybaris Prime Set","2021-08-29 00:00:00","3.5","175","49.89","3.51","13","10","1","283"
"Sybaris Prime Stock","2021-08-29 00:00:00","1.67","15","9.02","1.6600000000000001","7","-5","-2","105"
"Tekko Prime Blade","2021-08-29 00:00:00","5.0","100","19.29","5.18","-47","-43","1","130"
