"url_name","id","item_name"
"point_strike","54a74454e779892d5e5155f4","Point Strike"
"soaring_strike","567af35fcbfa8f05d076a521","Soaring Strike"
"pummel","554d3af4e77989420d3de2a2","Pummel"
"velocitus_stock","5783bf10d9b6753790c89e8a","Velocitus Stock"
"rathbone_handle","578d33bf34003bbbb9e20924","Rathbone Handle"
"rathbone_head","578d33bf34003bbbb9e20925","Rathbone Head"
"latron_wraith_barrel","57962daf19aaba0b00a9b1b0","Latron Wraith Barrel"
"heated_charge","54a74455e779892d5e5156c7","Heated Charge"
"system_reroute","54a74455e779892d5e5156cf","System Reroute"
"gorgon_wraith_receiver","591844575c170664fbd37eb5","Gorgon Wraith Receiver"
"calculated_shot","5615432bb66f8371035bfa23","Calculated Shot"
"vigor","54a74454e779892d5e5155f9","Vigor"
"hikou_prime_pouch","54a73e65e779893a797fff47","Hikou Prime Pouch"
"reaper_prime_blueprint","54a73e65e779893a797fff59","Reaper Prime Blueprint"
"arcane_thrak_rhino_helmet","54aaf153e779892a1bb42966","Arcane Thrak Helmet"
"primed_point_blank","54c68686e7798913c1042b4b","Primed Point Blank"
"power_of_three","56dac5945cc639de0a45c523","Power Of Three"
"rhino_prime_neuroptics","54a73e65e779893a797fff6f","Rhino Prime Neuroptics"
"disarming_purity","5911f11d97a0add8e9d5da4c","Disarming Purity"
"gorgon_wraith_stock","591844575c170664fbd37eb6","Gorgon Wraith Stock"
"ballistica_prime_string","59a5cd4d5cd9938cfede7045","Ballistica Prime String"
"crossing_snakes","54a74454e779892d5e515676","Crossing Snakes"
"rejuvenation","54a74454e779892d5e515678","Rejuvenation"
"dig","54a74455e779892d5e5156e3","Dig"
"shredder","54a74454e779892d5e515679","Shredder"
"continuous_misery","54a74455e779892d5e5156f3","Continuous Misery"
"vasto_prime_set","56783f24cbfa8f0432dd89b0","Vasto Prime Set"
"arcane_avalon_excalibur_helmet","54aaf1d2e77989786a5f748b","Arcane Avalon Helmet"
"thermite_rounds","54a74455e779892d5e5156f5","Thermite Rounds"
"arcane_flux_nova_helmet","54aaf1dde779897eebeee19d","Arcane Flux Helmet"
"telos_akbolto","54aae272e7798975bbba5f07","Telos Akbolto"
"arcane_aura_trinity_helmet","54aaf1eee779890a8654131d","Arcane Aura Helmet"
"sancti_castanas","54aae2ace7798918750e63f2","Sancti Castanas"
"rift_strike","5729bd11cb59ed5a9b484e90","Rift Strike"
"vulcan_blitz","5729bd15cb59ed5a9b484e91","Vulcan Blitz"
"arcane_gambit_vauban_helmet","54aaf209e7798917c67289d4","Arcane Gambit Helmet"
"arcane_chlora_saryn_helmet","54aaefd0e77989436b138405","Arcane Chlora Helmet"
"arcane_esprit_vauban_helmet","54aaf231e77989307d9accb2","Arcane Esprit Helmet"
"arcane_trickery","551085ece7798972cb579c3e","Arcane Trickery"
"oberon_prime_neuroptics","592dd262011e88f094afec7e","Oberon Prime Neuroptics"
"volt_prime_neuroptics","55158cd0e7798915e9d64c1e","Volt Prime Neuroptics"
"arcane_phoenix_ember_helmet","54aaf265e779895081b99385","Arcane Phoenix Helmet"
"ballistica_prime_lower_limb","59a5cd4d5cd9938cfede7044","Ballistica Prime Lower Limb"
"volt_prime_chassis","55158cd9e7798915ee6bd13f","Volt Prime Chassis"
"marquise_veridos","59eba86952f90ed715e14157","Marquise Veridos"
"arcane_reverb_banshee_helmet","54aaf284e77989627dc20627","Arcane Reverb Helmet"
"explosive_legerdemain","5526aec0e779896af9418258","Explosive Legerdemain"
"smite_corrupted","595567c18e34b5ed3cb3d9bc","Smite Corrupted"
"arcane_hemlock_saryn_helmet","54aaf29ce7798971c40870b8","Arcane Hemlock Helmet"
"vampire_leech","5526aec0e779896af941825b","Vampire Leech"
"zhuge_prime_blueprint","5d21ce47f4604c012d1e0c15","Zhuge Prime Blueprint"
"ninkondi_prime_chain","5d21ce48f4604c012d1e0c16","Ninkondi Prime Chain"
"zhuge_prime_receiver","5d21ce48f4604c012d1e0c17","Zhuge Prime Receiver"
"zhuge_prime_set","5d21ce49f4604c012d1e0c19","Zhuge Prime Set"
"wukong_prime_neuroptics","5d21ce4af4604c012d1e0c1a","Wukong Prime Neuroptics"
"ruinous_extension","54a74454e779892d5e5155a1","Ruinous Extension"
"savagery","54a74454e779892d5e5155a2","Savagery"
"pistol_gambit","54a74454e779892d5e5155ca","Pistol Gambit"
"gleaming_blight","54a74454e779892d5e5155d5","Gleaming Blight"
"ember_prime_neuroptics","54a73e65e779893a797fff6d","Ember Prime Neuroptics"
"lingering_torment","54a74455e779892d5e5156ad","Lingering Torment"
"hammer_shot","54a74454e779892d5e51558d","Hammer Shot"
"primed_shotgun_ammo_mutation","5655c4b3b66f832e11abd3fb","Primed Shotgun Ammo Mutation"
"arcane_velocity","566751d35dcbc186f0536bd6","Arcane Velocity"
"nyx_prime_blueprint","54a73e65e779893a797fff72","Nyx Prime Blueprint"
"dera_vandal_stock","56675653f9001cd2824a6827","Dera Vandal Stock"
"karak_wraith_blueprint","5667568bf9001cd2824a6828","Karak Wraith Blueprint"
"nyx_prime_systems","54a73e65e779893a797fff76","Nyx Prime Systems"
"swing_line","54e644ffe779897594fa68d0","Swing Line"
"dual_kamas_prime_set","56783f24cbfa8f0432dd8999","Dual Kamas Prime Set"
"measured_burst","567af35fcbfa8f05d076a51d","Measured Burst"
"safeguard_switch","54a74455e779892d5e5156c3","Safeguard Switch"
"prisma_shade","585a93012c2ada004f1a297e","Prisma Shade"
"gas_city_lobby_scene","5d322d1174bdad027da4d08e","Gas City Lobby Scene"
"overextended","54a74454e779892d5e5155d6","Overextended"
"protect","54a74454e779892d5e515641","Protect"
"total_eclipse","54e0c9eee7798903744178ac","Total Eclipse"
"arcane_pulse_volt_helmet","54aaf2ade779897b41e2872c","Arcane Pulse Helmet"
"vigilante_pursuit","59dfeb63115f1d887cfd7abc","Vigilante Pursuit"
"purging_slash","554d3f0ce779894445a848f5","Purging Slash"
"arcane_gauss_mag_helmet","54aaf2f8e779892b01b42391","Arcane Mag Gauss Helmet"
"ancient_fusion_core","54aaf526e779896a8c2ecfd8","Ancient Fusion Core"
"furax_wraith_right_gauntlet","59e91860f25be4e10d36571f","Furax Wraith Right Gauntlet"
"auger_strike","554d3f0ce779894445a848fe","Auger Strike"
"nyx_prime_neuroptics","54a73e65e779893a797fff71","Nyx Prime Neuroptics"
"rhino_prime_blueprint","54a73e65e779893a797fff77","Rhino Prime Blueprint"
"steady_hands","54a74454e779892d5e515603","Steady Hands"
"tigris_prime_receiver","57bc9c84e506eb45ea251458","Tigris Prime Receiver"
"energy_conversion","56dac8cc5cc639de0a45c52c","Energy Conversion"
"arcane_resistance","55a46c61e779890338bfadd8","Arcane Resistance"
"lethal_torrent","54a74454e779892d5e51560d","Lethal Torrent"
"war_blade","56fdbd6c2e26966de716e433","War Blade"
"detect_vulnerability","554d3f0ce779894445a848f2","Detect Vulnerability"
"elemental_sandstorm","57c73be094b4b0f159ab5e14","Elemental Sandstorm"
"steel_fiber","54a74454e779892d5e515612","Steel Fiber"
"magazine_extension","54a74454e779892d5e5155b9","Magazine Extension"
"concealed_explosives","55c15473e779895de4118590","Concealed Explosives"
"primed_ravage","54c685c4e77989137eb0f9be","Primed Ravage"
"depleted_reload","55c154a7e779895e0186c0a4","Depleted Reload"
"helios_prime_carapace","58b57068eb26db5c31192116","Helios Prime Carapace"
"wyrm_prime_systems","54ca4337e779891a2e3fbc83","Wyrm Prime Systems"
"trinity_prime_neuroptics","56153692b66f836f7d649936","Trinity Prime Neuroptics"
"mind_freak","54e644ffe779897594fa68ce","Mind Freak"
"fang_prime_handle","54a73e65e779893a797fff42","Fang Prime Handle"
"streamline","54a74454e779892d5e5155ff","Streamline"
"insulation","54a74454e779892d5e515688","Insulation"
"pressurized_magazine","56a7b2901133f656cb085d8f","Pressurized Magazine"
"ambush_optics_(rubico)","56dac5b05cc639de0a45c527","Ambush Optics"
"nyx_prime_chassis","54a73e65e779893a797fff73","Nyx Prime Chassis"
"capacitance","5526aec0e779896af941825e","Capacitance"
"shell_compression","54a74454e779892d5e5155fb","Shell Compression"
"loki_prime_chassis","54a73e65e779893a797fff75","Loki Prime Chassis"
"bore","554d3f0ce779894445a848f8","Bore"
"signal_flare","554d3f0ce779894445a848f9","Signal Flare"
"lightning_dash","55c153bfe779895d7c52cd96","Lightning Dash"
"mag_prime_chassis","54a73e65e779893a797fff83","Mag Prime Chassis"
"snipetron_vandal_set","5707cc07a820909ab922558e","Snipetron Vandal Set"
"battering_maneuver","55c153d3e779895d8cb3df5f","Battering Maneuver"
"piercing_step","55c153e0e779895d97f9cca1","Piercing Step"
"fireball_frenzy","54a74454e779892d5e515617","Fireball Frenzy"
"lasting_purity","54a74454e779892d5e5155b8","Lasting Purity"
"energy_siphon","54a74454e779892d5e515618","Energy Siphon"
"stalk","54a74454e779892d5e51561a","Stalk"
"magazine_warp","54a74454e779892d5e51561d","Magazine Warp"
"infiltrate","576459d33ae92d545fd1e7ba","Infiltrate"
"coiling_viper","54a74454e779892d5e515643","Coiling Viper"
"primed_pressure_point","5765ab4947837cf09eec1f02","Primed Pressure Point"
"cold_snap","5783908cd9b6753790c89e7f","Cold Snap"
"hells_chamber","54a74454e779892d5e515644","Hell's Chamber"
"stockpiled_blight","5911f11d97a0add8e9d5da4f","Stockpiled Blight"
"nami_skyla_prime_handle","59a5cd4d5cd9938cfede7042","Nami Skyla Prime Handle"
"fracturing_wind","54a74454e779892d5e51560b","Fracturing Wind"
"fulmination","5914639e6b46c14200a37888","Fulmination"
"ammo_drum","54a74454e779892d5e51562f","Ammo Drum"
"sovereign_outcast","588247dcefa102dc532bd503","Sovereign Outcast"
"gladiator_might","59dfeb5c115f1d887cfd7ab5","Gladiator Might"
"heavy_impact","54a74454e779892d5e515631","Heavy Impact"
"thunderbolt","54a74454e779892d5e51563f","Thunderbolt"
"pool_of_life","54a74454e779892d5e51564c","Pool Of Life"
"entropy_burst","54a74455e779892d5e5156a3","Entropy Burst"
"fatal_attraction","54a74455e779892d5e5156a4","Fatal Attraction"
"seismic_palm","54a74455e779892d5e5156a5","Seismic Palm"
"pressure_point","54a74455e779892d5e5156a7","Pressure Point"
"modified_munitions","54a74455e779892d5e5156ab","Modified Munitions"
"natural_talent","54a74455e779892d5e5156b0","Natural Talent"
"flechette","54a74455e779892d5e5156b3","Flechette"
"shimmering_blight","54a74455e779892d5e5156b7","Shimmering Blight"
"justice_blades","54a74455e779892d5e5156b9","Justice Blades"
"buzz_kill","54a74455e779892d5e5156c5","Buzz Kill"
"pyrana_prime_blueprint","5b2985e1eb069f04ea65b0ea","Pyrana Prime Blueprint"
"pyrana_prime_receiver","5b2985e1eb069f04ea65b0ee","Pyrana Prime Receiver"
"pyrana_prime_barrel","5b2985e1eb069f04ea65b0f3","Pyrana Prime Barrel"
"destreza_prime_set","5b2985e2eb069f04ea65b0f6","Destreza Prime Set"
"primed_expel_grineer","5bb7658e92ea46005b6d386d","Primed Expel Grineer"
"primed_expel_corpus","5bb7658f92ea46005b6d386e","Primed Expel Corpus"
"primed_expel_infested","5bb7658f92ea46005b6d386f","Primed Expel Infested"
"primed_expel_corrupted","5bbcec53f639cf007b7357cf","Primed Expel Corrupted"
"quaking_hand","5be5f5a13ffcc7038857f113","Quaking Hand"
"flame_gland","5be5f5a23ffcc7038857f119","Flame Gland"
"dividing_blades","5be5f5a23ffcc7038857f11c","Dividing Blades"
"smooth_phasmin","5be5f5a43ffcc7038857f132","Smooth Phasmin"
"arcane_pulse","56153e9bb66f837074af99c5","Arcane Pulse"
"sudden_justice","567af35fcbfa8f05d076a522","Sudden Justice"
"blood_rush","56a7b24c1133f656cb085d85","Blood Rush"
"shrapnel_shot","56a7b28a1133f656cb085d8e","Shrapnel Shot"
"coolant_leak","54a74455e779892d5e5156ca","Coolant Leak"
"ward_recovery","56dac5905cc639de0a45c522","Ward Recovery"
"primed_heated_charge","54c686dce7798913e1a86565","Primed Heated Charge"
"neutron_star","54a74454e779892d5e5155f3","Neutron Star"
"skull_shots_(viper)","56dac5a85cc639de0a45c525","Skull Shots"
"loki_prime_neuroptics","54a73e65e779893a797fff70","Loki Prime Neuroptics"
"vigilante_fervor","59dfeb63115f1d887cfd7ab9","Vigilante Fervor"
"ankyros_prime_blade","54a73e65e779893a797fff24","Ankyros Prime Blade"
"ankyros_prime_gauntlet","54a73e65e779893a797fff26","Ankyros Prime Gauntlet"
"bo_prime_blueprint","54a73e65e779893a797fff27","Bo Prime Blueprint"
"silva_and_aegis_prime_guard","592dd262011e88f094afec88","Silva & Aegis Prime Guard"
"vicious_frost","54a74454e779892d5e5155ad","Vicious Frost"
"jagged_edge","54a74454e779892d5e5155af","Jagged Edge"
"shield_disruption","54a74454e779892d5e5155cf","Shield Disruption"
"magus_vigor","5a0475086c4655012038ddbf","Magus Vigor"
"shotgun_spazz","54a74455e779892d5e5156f1","Shotgun Spazz"
"arcane_swindle_loki_helmet","54aaf130e7798916d6f20025","Arcane Swindle Helmet"
"gladiator_vice","59dfeb5c115f1d887cfd7ab8","Gladiator Vice"
"arcane_meridian_trinity_helmet","54aaf2e9e779892185a51ef4","Arcane Meridian Helmet"
"legendary_fusion_core","54aaf530e77989707ada3a7e","Legendary Fusion Core"
"tigris_prime_stock","57bc9c84e506eb45ea251456","Tigris Prime Stock"
"spinning_needle","57c5948794b4b0f159ab5e0e","Spinning Needle"
"snipetron_vandal_stock","5703ed1aa064f4ab755dc13a","Snipetron Vandal Stock"
"wildfire","54a74454e779892d5e515610","Wildfire"
"bane_of_grineer","54a74454e779892d5e51559f","Bane Of Grineer"
"scimitar_avionics","571955bf4445c3e28b80fc81","Scimitar Avionics"
"reflex_guard","54a74454e779892d5e5155a5","Reflex Guard"
"everlasting_ward","5754a30de701ef5844257da8","Everlasting Ward"
"ash_prime_neuroptics","559daab7e779897b3d86cb8f","Ash Prime Neuroptics"
"jolt","54a74454e779892d5e5155a8","Jolt"
"vectis_prime_stock","559daaf7e779897b5f3f5480","Vectis Prime Stock"
"stunning_speed","54a74454e779892d5e51561b","Stunning Speed"
"primed_continuity","54c6855ee779891362942572","Primed Continuity"
"bo_prime_handle","54a73e65e779893a797fff28","Bo Prime Handle"
"crash_course","554d3c0ce7798942793d7e89","Crash Course"
"vital_systems_bypass","567af35fcbfa8f05d076a525","Vital Systems Bypass"
"singularity","554d3f0ce779894445a848f3","Singularity"
"armored_acrobatics","568c17a0c221c673bc088846","Armored Acrobatics"
"lethal_momentum","554d3f0ce779894445a84900","Lethal Momentum"
"primed_bane_of_infested","56900be253c8e91351672724","Primed Bane Of Infested"
"primed_bane_of_corpus","56900c0053c8e91351672725","Primed Bane Of Corpus"
"carrier_prime_blueprint","559daac1e779897b4253a85e","Carrier Prime Blueprint"
"vulpine_mask","5696e4e06629907e30c394f8","Vulpine Mask"
"primed_bane_of_grineer","56a3ae00a4cc3c6028b342b1","Primed Bane Of Grineer"
"vectis_prime_barrel","559daae0e779897b5273b716","Vectis Prime Barrel"
"tactical_pump","54a74454e779892d5e51568c","Tactical Pump"
"arcane_menticide_nyx_helmet","54aaf170e779893cfbd8ec50","Arcane Menticide Helmet"
"arcane_aurora_frost_helmet","54aaf182e77989468dbe1add","Arcane Aurora Helmet"
"soma_prime_blueprint","54a73e65e779893a797fff62","Soma Prime Blueprint"
"unleashed","54a74454e779892d5e5155ed","Unleashed"
"vasto_prime_barrel","54a73e65e779893a797fff65","Vasto Prime Barrel"
"arcane_chorus_banshee_helmet","54aaf18be779894c7c9308d3","Arcane Chorus Helmet"
"vasto_prime_blueprint","54a73e65e779893a797fff66","Vasto Prime Blueprint"
"entropy_flight","54a74454e779892d5e5155ee","Entropy Flight"
"saryn_prime_set","56c3bbea5d2f0202da32e93f","Saryn Prime Set"
"poppin_vert","5c1bda1b14a8e4006b1dad91","Poppin' Vert"
"magus_repair","5c1bda1b14a8e4006b1dad92","Magus Repair"
"magus_glitch","5c1bda1e14a8e4006b1dad95","Magus Glitch"
"perfect_balance","5c1bda2014a8e4006b1dad99","Perfect Balance"
"strain_consume","5c1bda2214a8e4006b1dada0","Strain Consume"
"zaw_riven_mod_(veiled)","5c1e62d3817a0d0092fb1609","Zaw Riven Mod"
"wolf_sledge_blueprint","5c7849e22cc6ce090383e262","Wolf Sledge Blueprint"
"magus_overload","5c1bda0814a8e4006b1dad63","Magus Overload"
"molecular_fission","5c3892672cc6ce00f238139f","Molecular Fission"
"wolf_sledge_motor","5c7849e22cc6ce090383e26a","Wolf Sledge Motor"
"wild_frenzy","5c79229f2cc6ce0985fd3bb7","Wild Frenzy"
"napalm_grenades","5c93e3b8fc2db20121591320","Napalm Grenades"
"tipedo_prime_handle","5ca2866ffc2db2035eae059a","Tipedo Prime Handle"
"stradavar_prime_set","5ca2866ffc2db2035eae059c","Stradavar Prime Set"
"equinox_prime_blueprint","5ca28670fc2db2035eae05a6","Equinox Prime Blueprint"
"bronco_prime_barrel","54a73e65e779893a797fff36","Bronco Prime Barrel"
"war_hilt","56fdbd5d2e26966de716e432","War Hilt"
"nova_prime_systems","54a73e65e779893a797fff6a","Nova Prime Systems"
"frost_prime_blueprint","54a73e65e779893a797fff80","Frost Prime Blueprint"
"bronco_prime_blueprint","54a73e65e779893a797fff37","Bronco Prime Blueprint"
"astral_twilight","54c688a2e77989145e6d0aa0","Astral Twilight"
"snap_shot","567af35fcbfa8f05d076a4f5","Snap Shot"
